participant.code,session.code,group.id_in_subsession,player.hours_stated,equal,group,channel,Chat_subject,Chat_group_all,Chat_sel
h5s37olr,lz7dyuw7,6,50.0,True,lz7dyuw76,214-stage_1-272,hallo wv hast du denn same was denkst du wird das max sein was in den blättern angegebn werdern kann an überstd dementsprechend kann man schauen ob es sisch lohnt oder nicht top all in? tmm :DD tmm 50 fuffi chat beenden? eyva,hallo hallo wv hast du denn 15 du same ok wir sind 12 leute was denkst du wird das max sein was in den blättern angegebn werdern kann an überstd 2/3 wahrscheinlichkeit das wir nicht ausgewählt werden dementsprechend kann man schauen ob es sisch lohnt oder nicht 50 ich wäre dafür top all in? du auch ja safe also 50? tmm hahhaha :DD hade tmm 50 fuffi alles auf rot chat beenden? ya eyva,hallo hallo wv hast du denn 15 du same ok wir sind 12 leute was denkst du wird das max sein was in den blättern angegebn werdern kann an überstd 2/3 wahrscheinlichkeit das wir nicht ausgewählt werden dementsprechend kann man schauen ob es sisch lohnt oder nicht 50 ich wäre dafür top all in? du auch ja safe also 50? tmm hahhaha :DD hade tmm 50 fuffi alles auf rot chat beenden? ya eyva
74xuezf4,lz7dyuw7,6,50.0,True,lz7dyuw76,214-stage_1-272,hallo 15 du ok wir sind 12 leute 2/3 wahrscheinlichkeit das wir nicht ausgewählt werden 50 ich wäre dafür du auch ja safe also 50? hahhaha hade alles auf rot ya,hallo hallo wv hast du denn 15 du same ok wir sind 12 leute was denkst du wird das max sein was in den blättern angegebn werdern kann an überstd 2/3 wahrscheinlichkeit das wir nicht ausgewählt werden dementsprechend kann man schauen ob es sisch lohnt oder nicht 50 ich wäre dafür top all in? du auch ja safe also 50? tmm hahhaha :DD hade tmm 50 fuffi alles auf rot chat beenden? ya eyva,hallo hallo wv hast du denn 15 du same ok wir sind 12 leute was denkst du wird das max sein was in den blättern angegebn werdern kann an überstd 2/3 wahrscheinlichkeit das wir nicht ausgewählt werden dementsprechend kann man schauen ob es sisch lohnt oder nicht 50 ich wäre dafür top all in? du auch ja safe also 50? tmm hahhaha :DD hade tmm 50 fuffi alles auf rot chat beenden? ya eyva
4cuvzyul,lz7dyuw7,7,40.0,True,lz7dyuw77,214-stage_1-273,"hi leider sind es nicht so viele überstunden ja erstmal: lügen oder nicht lügen? okay aber wie viel all in, dass wir am ende vielleicht weniger als fix ist odernur bisschen  mehr? ich würde sagen wenn schon, dann richtig haha ich dachte zufällig aber das stimmt... vielleivht nach hähe die wahrscheinlichkeit überprüft zu werden ist 29% wie viel? ja jetzt hab ich sorge dass es tatsächlich nicht nach zufall passiert haha sagen wir 35? okay oder ne 40 40? okay gut also 40 fest  ciao","hallo hi wir haben 15 überstunden leider sind es nicht so viele überstunden ja ich würde mehr angeben  erstmal: lügen oder nicht lügen? okay aber wie viel weil die wahrscheinlichkeit überprüft zu werden meines erachtens gering ist  all in, dass wir am ende vielleicht weniger als fix ist odernur bisschen  mehr? die frage ist nach welchem kriterium überprüft wird ich würde sagen wenn schon, dann richtig haha ich dachte zufällig aber das stimmt... vielleivht nach hähe die wahrscheinlichkeit überprüft zu werden ist 29% ja  wie viel? dann geben wir 50 Überstunden an ? ist das maximum  ja jetzt hab ich sorge dass es tatsächlich nicht nach zufall passiert haha naja  wahrscheinlich werden die anderen auch so denken wenn alle das machen ist die wahrscheinlichkeit wieder gering sagen wir 35? ok okay dann viel erfolg für un shaha oder ne 40 40? 40  abgemacht okay gut also 40 fest  ja dann tschau  ciao","hallo hi wir haben 15 überstunden leider sind es nicht so viele überstunden ja ich würde mehr angeben  erstmal: lügen oder nicht lügen? okay aber wie viel weil die wahrscheinlichkeit überprüft zu werden meines erachtens gering ist  all in, dass wir am ende vielleicht weniger als fix ist odernur bisschen  mehr? die frage ist nach welchem kriterium überprüft wird ich würde sagen wenn schon, dann richtig haha ich dachte zufällig aber das stimmt... vielleivht nach hähe die wahrscheinlichkeit überprüft zu werden ist 29% ja  wie viel? dann geben wir 50 Überstunden an ? ist das maximum  ja jetzt hab ich sorge dass es tatsächlich nicht nach zufall passiert haha naja  wahrscheinlich werden die anderen auch so denken wenn alle das machen ist die wahrscheinlichkeit wieder gering sagen wir 35? ok okay dann viel erfolg für un shaha oder ne 40 40? 40  abgemacht okay gut also 40 fest  ja dann tschau  ciao"
q0k1uimp,lz7dyuw7,7,40.0,True,lz7dyuw77,214-stage_1-273,hallo wir haben 15 überstunden ich würde mehr angeben  weil die wahrscheinlichkeit überprüft zu werden meines erachtens gering ist  die frage ist nach welchem kriterium überprüft wird ja  dann geben wir 50 Überstunden an ? ist das maximum  naja  wahrscheinlich werden die anderen auch so denken wenn alle das machen ist die wahrscheinlichkeit wieder gering ok dann viel erfolg für un shaha 40  abgemacht ja dann tschau ,"hallo hi wir haben 15 überstunden leider sind es nicht so viele überstunden ja ich würde mehr angeben  erstmal: lügen oder nicht lügen? okay aber wie viel weil die wahrscheinlichkeit überprüft zu werden meines erachtens gering ist  all in, dass wir am ende vielleicht weniger als fix ist odernur bisschen  mehr? die frage ist nach welchem kriterium überprüft wird ich würde sagen wenn schon, dann richtig haha ich dachte zufällig aber das stimmt... vielleivht nach hähe die wahrscheinlichkeit überprüft zu werden ist 29% ja  wie viel? dann geben wir 50 Überstunden an ? ist das maximum  ja jetzt hab ich sorge dass es tatsächlich nicht nach zufall passiert haha naja  wahrscheinlich werden die anderen auch so denken wenn alle das machen ist die wahrscheinlichkeit wieder gering sagen wir 35? ok okay dann viel erfolg für un shaha oder ne 40 40? 40  abgemacht okay gut also 40 fest  ja dann tschau  ciao","hallo hi wir haben 15 überstunden leider sind es nicht so viele überstunden ja ich würde mehr angeben  erstmal: lügen oder nicht lügen? okay aber wie viel weil die wahrscheinlichkeit überprüft zu werden meines erachtens gering ist  all in, dass wir am ende vielleicht weniger als fix ist odernur bisschen  mehr? die frage ist nach welchem kriterium überprüft wird ich würde sagen wenn schon, dann richtig haha ich dachte zufällig aber das stimmt... vielleivht nach hähe die wahrscheinlichkeit überprüft zu werden ist 29% ja  wie viel? dann geben wir 50 Überstunden an ? ist das maximum  ja jetzt hab ich sorge dass es tatsächlich nicht nach zufall passiert haha naja  wahrscheinlich werden die anderen auch so denken wenn alle das machen ist die wahrscheinlichkeit wieder gering sagen wir 35? ok okay dann viel erfolg für un shaha oder ne 40 40? 40  abgemacht okay gut also 40 fest  ja dann tschau  ciao"
trbgut1e,advbl96w,1,,False,advbl96w1,55-stage_1-94,"Hallo 10 Überstunden. So, wie es auf dem Zettel steht. Gut. Ciao und Grüße","Hallo Hallo Was geben wir an? einfach ehrlich, 10 Überstunden? :) 10 Überstunden. So, wie es auf dem Zettel steht. okay Gut. Ciao und Grüße ciao :D","Hallo 10 Überstunden. So, wie es auf dem Zettel steht. Gut. Ciao und Grüße"
shq3petg,advbl96w,1,,False,advbl96w1,55-stage_1-94,"Hallo Was geben wir an? einfach ehrlich, 10 Überstunden? :) okay ciao :D","Hallo Hallo Was geben wir an? einfach ehrlich, 10 Überstunden? :) 10 Überstunden. So, wie es auf dem Zettel steht. okay Gut. Ciao und Grüße ciao :D","Hallo Was geben wir an? einfach ehrlich, 10 Überstunden? :) okay ciao :D"
uaiukij2,advbl96w,2,10.0,True,advbl96w2,55-stage_1-95,"hey hmm kommt drauf an wie viele Überstunden du hast haha auf meinem auch also so würden wir halt 50 pkt erhalten ich glaube auch weil dann wenn wir z.B. 20 eingeben dann bekommen wir immer weniger but no risk no fun haha ja ja  ich bin auch für 10 haha kann sein ok also 10 ok, war sehr nett byeeee yup","hi hey deutsch oder englisch was preferierst du; ? hmm kommt drauf an wie viele Überstunden du hast haha xd auf mein Papier steht 10 auf meinem auch was ist bei dir? also so würden wir halt 50 pkt erhalten ich bin der Meinung, dass wir grade 10 sagen sollen japp 50 punkte ich glaube dass alle gruppen werden überprüft ich glaube auch weil dann wenn wir z.B. 20 eingeben dann bekommen wir immer weniger jaja so wir sollen ehrlich sein  but no risk no fun haha ne ne ja ja  ich glaube sie gucken ich bin auch für 10 wie trustworthy wir sind haha kann sein ja dann sagen wir die Wahrheit so 10 ok also 10 cool 10 ok, war sehr nett ;) byeeee dann chat beenden? ciao yup","hi hey deutsch oder englisch was preferierst du; ? hmm kommt drauf an wie viele Überstunden du hast haha xd auf mein Papier steht 10 auf meinem auch was ist bei dir? also so würden wir halt 50 pkt erhalten ich bin der Meinung, dass wir grade 10 sagen sollen japp 50 punkte ich glaube dass alle gruppen werden überprüft ich glaube auch weil dann wenn wir z.B. 20 eingeben dann bekommen wir immer weniger jaja so wir sollen ehrlich sein  but no risk no fun haha ne ne ja ja  ich glaube sie gucken ich bin auch für 10 wie trustworthy wir sind haha kann sein ja dann sagen wir die Wahrheit so 10 ok also 10 cool 10 ok, war sehr nett ;) byeeee dann chat beenden? ciao yup"
chr1rr3g,advbl96w,2,10.0,True,advbl96w2,55-stage_1-95,"hi deutsch oder englisch was preferierst du; ? xd auf mein Papier steht 10 was ist bei dir? ich bin der Meinung, dass wir grade 10 sagen sollen japp 50 punkte ich glaube dass alle gruppen werden überprüft jaja so wir sollen ehrlich sein  ne ne ich glaube sie gucken wie trustworthy wir sind ja dann sagen wir die Wahrheit so 10 cool 10 ;) dann chat beenden? ciao","hi hey deutsch oder englisch was preferierst du; ? hmm kommt drauf an wie viele Überstunden du hast haha xd auf mein Papier steht 10 auf meinem auch was ist bei dir? also so würden wir halt 50 pkt erhalten ich bin der Meinung, dass wir grade 10 sagen sollen japp 50 punkte ich glaube dass alle gruppen werden überprüft ich glaube auch weil dann wenn wir z.B. 20 eingeben dann bekommen wir immer weniger jaja so wir sollen ehrlich sein  but no risk no fun haha ne ne ja ja  ich glaube sie gucken ich bin auch für 10 wie trustworthy wir sind haha kann sein ja dann sagen wir die Wahrheit so 10 ok also 10 cool 10 ok, war sehr nett ;) byeeee dann chat beenden? ciao yup","hi hey deutsch oder englisch was preferierst du; ? hmm kommt drauf an wie viele Überstunden du hast haha xd auf mein Papier steht 10 auf meinem auch was ist bei dir? also so würden wir halt 50 pkt erhalten ich bin der Meinung, dass wir grade 10 sagen sollen japp 50 punkte ich glaube dass alle gruppen werden überprüft ich glaube auch weil dann wenn wir z.B. 20 eingeben dann bekommen wir immer weniger jaja so wir sollen ehrlich sein  but no risk no fun haha ne ne ja ja  ich glaube sie gucken ich bin auch für 10 wie trustworthy wir sind haha kann sein ja dann sagen wir die Wahrheit so 10 ok also 10 cool 10 ok, war sehr nett ;) byeeee dann chat beenden? ciao yup"
qltagad4,advbl96w,3,,False,advbl96w3,55-stage_1-96,"Dürfen wir jetzt sagen wieviele Überstunden wir gemacht haben hier? okay ich hab 10 wenn wir 60 angeben müssten wir dann falls wir überprüft werden beide 2 euro drauf zahlen? ich würd sagen lass einfach ehrlich sein und safe mit 5 euro rausgehen ? also beide 10 angeben? die 4 können wir verlieren  da steht zwar fix aber die können wir auch verlieren ! ja! ich würd sagen wir bleiben ehrlich, mit 10 wäre das die beste Strategie dann haben wir sogar 6","also Dürfen wir jetzt sagen wieviele Überstunden wir gemacht haben hier? keine Ahnung, glaube schon okay ich hab 10 ich verstehe auch nicht warum wir nicht immer die maximale Anzahl angeben wurden fur max lab punkte ich auch 10 achso moment aus 8 Leuten werden 4 personen immer geprüft wenn wir 60 angeben müssten wir dann falls wir überprüft werden beide 2 euro drauf zahlen? ok ich würd sagen lass einfach ehrlich sein und safe mit 5 euro rausgehen ? also beide 10 angeben? aber wir haben garantier 4 die 4 können wir verlieren  da steht zwar fix aber die können wir auch verlieren ! wirklich? ja! ich würd sagen wir bleiben ehrlich, mit 10 wäre das die beste Strategie ja ok dann haben wir sogar 6","Dürfen wir jetzt sagen wieviele Überstunden wir gemacht haben hier? okay ich hab 10 wenn wir 60 angeben müssten wir dann falls wir überprüft werden beide 2 euro drauf zahlen? ich würd sagen lass einfach ehrlich sein und safe mit 5 euro rausgehen ? also beide 10 angeben? die 4 können wir verlieren  da steht zwar fix aber die können wir auch verlieren ! ja! ich würd sagen wir bleiben ehrlich, mit 10 wäre das die beste Strategie dann haben wir sogar 6"
efauze5z,advbl96w,3,,False,advbl96w3,55-stage_1-96,"also keine Ahnung, glaube schon ich verstehe auch nicht warum wir nicht immer die maximale Anzahl angeben wurden fur max lab punkte ich auch 10 achso moment aus 8 Leuten werden 4 personen immer geprüft ok aber wir haben garantier 4 wirklich? ja ok","also Dürfen wir jetzt sagen wieviele Überstunden wir gemacht haben hier? keine Ahnung, glaube schon okay ich hab 10 ich verstehe auch nicht warum wir nicht immer die maximale Anzahl angeben wurden fur max lab punkte ich auch 10 achso moment aus 8 Leuten werden 4 personen immer geprüft wenn wir 60 angeben müssten wir dann falls wir überprüft werden beide 2 euro drauf zahlen? ok ich würd sagen lass einfach ehrlich sein und safe mit 5 euro rausgehen ? also beide 10 angeben? aber wir haben garantier 4 die 4 können wir verlieren  da steht zwar fix aber die können wir auch verlieren ! wirklich? ja! ich würd sagen wir bleiben ehrlich, mit 10 wäre das die beste Strategie ja ok dann haben wir sogar 6","also keine Ahnung, glaube schon ich verstehe auch nicht warum wir nicht immer die maximale Anzahl angeben wurden fur max lab punkte ich auch 10 achso moment aus 8 Leuten werden 4 personen immer geprüft ok aber wir haben garantier 4 wirklich? ja ok"
